Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1875,999.9,999.9,999.9,999.9,10,17.2,19.1,15.6,9.4,1.2,-11,-19.6,999.9
1876,-22.8,-17.6,-8.3,-0.6,10.3,14.2,19.7,17,11.9,1.6,-11.7,-20.9,-0.6
1877,-21.7,-20.3,-7.8,-1.8,9.7,18.7,19.6,18.1,11.4,3.6,-5.2,-23.2,0.1
1878,-21.1,-13.8,-5.9,3.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1879,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1880,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1881,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1882,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1883,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1884,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1885,999.9,999.9,999.9,-0.8,9.8,16.7,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1886,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1887,999.9,999.9,999.9,999.9,999.9,999.9,18.6,15.9,10.5,2.4,-4.5,-11.7,999.9
1888,-17.4,-20.9,-8.7,4.5,15.1,18.9,22.1,16.6,12.7,2.7,-10.7,-21.5,1.1
1889,-23.1,-14.5,-12.2,0.7,8.5,15.9,17.8,17.6,11.1,-1.3,-15.5,-19.4,-1.2
1890,-16.8,-16.1,-12.4,1.4,6.2,16.6,21.5,16,10,4.9,-18,-16.9,-0.3
1891,-22.4,-18.2,-7.4,-2.5,11,15.7,18.9,17,10.5,-2.7,-13.4,-15.6,-0.8
1892,-19.9,-19.7,-15.5,-2.7,13.3,18.2,20.4,18,11.4,2.3,-12,-18.9,-0.4
1893,-30.8,-18,-2.9,7.8,7.8,17.8,20.4,15.7,12.9,2.4,-4.5,-15.6,1.1
1894,-18.5,-11.1,-10.8,-4.5,12.7,15.9,17.6,17.1,10.9,1.9,-10.9,-19.3,0.1
1895,-22,999.9,-7.7,0.8,10,15.1,999.9,17,11.8,3.3,-5.5,-19.9,999.9
1896,-22.8,-17.4,-14.7,-4.8,13.7,17.4,20.4,16.8,11,4.4,-8.2,-20.1,-0.4
1897,-23,-18.9,-16.1,2.2,11.8,16.3,18,16.1,11.2,0.8,-10.4,-19.3,-0.9
1898,-15.9,-21.9,-20,-2.1,7.2,17.3,20.1,15.7,10.6,0.2,-7.3,-10,-0.5
1899,-14.9,-17.2,-9.2,1.8,12.1,17.9,15.1,18.7,11.8,5.8,-2.4,-20.6,1.6
1900,-25.8,-17.4,-7.7,-1.8,14.7,20.6,20.8,16.3,10.1,3.7,-10,-13.6,0.8
1901,-23.9,-12.8,-8.1,4.3,11.8,15.2,21.2,15.1,8.9,-2.1,-7,-17,0.5
1902,-14.1,-16.1,-12,-4.1,10.9,17,21.5,18.6,11.5,0.1,-13.3,-21.2,-0.1
1903,-17.4,-9.7,-12.2,0.3,8.6,14.2,17.2,15.7,10,-1.1,-9.8,-16.8,-0.1
1904,-17.3,-13.5,-12,-4.7,14,18.1,20,17.6,10.5,2.1,-5.3,-11.4,1.5
1905,-17.4,-19.3,-16.8,-4.2,9.9,14.1,18.8,15.9,11.6,4.4,-5.3,-10.8,0.1
1906,-21.9,-21.4,-4.9,4.7,10.4,18.5,18.4,19.1,10.3,0.8,-10.7,-11.6,1
1907,-22.7,-19.6,-10,1.1,10.1,13.9,19.7,20.3,12.2,-0.1,-13.7,-16.8,-0.5
1908,-20.9,-19.2,-15.3,-2.1,13.1,15,16.6,16.6,10.1,-0.3,-10.4,-14.7,-1
1909,-20.6,-16.5,-15.3,3.9,11,18,20.5,15.9,10.1,1.7,-3.1,-15,0.9
1910,-18.3,-18.6,-12.7,1.4,11.9,14.5,19.3,17.8,9.9,-0.5,-11.2,-14.5,-0.1
1911,-20.1,-19.7,-12.3,3.3,8.3,18.9,21.8,14.3,9.1,1.6,-3.7,-15.4,0.5
1912,-16.2,-20.3,-15.7,1.4,13.4,16.4,19.5,13.5,10.2,-3.3,-10.4,-16.4,-0.7
1913,-18.4,-19.9,-7,-3,11.8,17.3,18.4,16.5,10,1.9,-6.5,-7.5,1.1
1914,-15,-12.9,-11,1,11.8,14.8,15,17.7,10.8,-1.1,-10.5,-16.5,0.3
1915,-20.4,-12.4,-11.5,4,14.1,21.1,20.7,17.8,12.3,-1.6,-8,-14.5,1.8
1916,-17.2,-17,-13.7,-0.6,12.3,17.7,18.6,15.7,12.1,1.7,-8,-18.8,0.2
1917,-15.4,-18.1,-14.3,3.9,13.5,13.6,17.7,12.5,12.3,3.2,-4.3,-16.6,0.7
1918,-13.5,-18.2,-10.5,0.3,9.1,17.6,21,19.4,10.1,2.3,-7.8,-22,0.7
1919,-25.1,-17.7,-14.4,2.4,10.6,14,18.1,16,9.7,999.9,999.9,999.9,999.9
1920,999.9,-19.6,-7.5,999.9,12.7,20.4,999.9,17.3,9,-1.8,-11.7,-21.9,999.9
1921,-15.8,-19,-10.1,1.3,10.6,20.8,22.2,15.1,10.8,3.8,-7.2,-15.2,1.4
1922,-19.6,-19.5,-6,0.6,13.1,18.3,19.5,15.3,9.6,1.4,-5.2,-9.9,1.5
1923,-17.1,-20.1,-9.2,-0.5,9.2,19.7,21,19.1,11.6,6.7,-4.1,-12,2
1924,-19.9,-18.3,-10.8,3.5,11.2,15.2,21.6,16.2,10.5,2.1,-4.9,-13.2,1.1
1925,-13.7,-13.5,-9,-1.8,8.5,17.6,16.3,17.2,12.2,4.3,-5.8,-14,1.5
1926,-15.9,-19.1,-9.2,-2.7,6.8,16.4,16,15.5,9.7,3.5,-5.9,-16.3,-0.1
1927,-23.1,-15.6,-16.6,1.7,14.1,17.4,19.3,16.5,12.6,1.9,-9.1,-18.6,0
1928,-19.3,-18.3,-15.4,-1.6,10.8,16.6,18.7,15.9,10.9,3.7,-9.1,-17.1,-0.4
1929,-21.9,-23.4,-9.5,2.9,8.4,20.5,20.4,15.8,10.6,3.8,-5.2,-26.2,-0.3
1930,-19,-20.1,-6.8,-1.7,9.6,18.9,18.1,15.2,9.1,2.5,-4.8,-18.1,0.2
1931,-21.3,-23.8,-11.1,2.1,10.6,21.2,20.7,18.2,12.4,4.3,-9,-15.7,0.7
1932,-13,-14.9,-9.5,5.7,10.4,16.4,19.3,16.2,11.4,6,-7.3,-15.1,2.1
1933,-23,-24,-12.1,3.7,10.1,15.3,20.5,17.4,8.5,2.4,-7.8,-19.1,-0.7
1934,-17,-11.9,-13.5,-4.3,11.6,16.9,14.7,16.6,6.8,3.5,-4.7,-16.7,0.2
1935,-20.3,-12.5,-11.4,1.3,12.4,17.2,18.8,17.2,11.6,2.3,-12.8,-19.8,0.3
1936,-17.1,-16,-11.5,-0.9,9,17.3,17.8,14.5,11.5,4.5,-3.7,-10.7,1.2
1937,-16.6,-19.1,-14.3,0.1,9.8,17.1,18.6,14.7,11.5,3.9,-8,-19.3,-0.1
